,subject_id,block_condition,reval_score,age,categorical_age,block_order,environment,rest,second_stage_test,last_10_accuracy
181,8731,Control,0.0,23.87,Adults,2.0,ocean,No Rest,1.0,1.0
182,8732,Control,0.0,23.32,Adults,2.0,canyon,No Rest,1.0,1.0
183,8734,Control,0.0,24.0,Adults,2.0,canyon,No Rest,1.0,1.0
184,8735,Control,0.5,23.51,Adults,2.0,ocean,No Rest,1.0,1.0
185,8771,Control,0.0,22.96,Adults,2.0,ocean,No Rest,1.0,1.0
186,8775,Control,0.0,22.65,Adults,2.0,ocean,No Rest,1.0,1.0
187,8778,Control,0.0,22.81,Adults,2.0,ocean,No Rest,1.0,1.0
188,8779,Control,0.0,22.77,Adults,1.0,ocean,No Rest,1.0,1.0
189,8819,Control,0.0,18.71,Adults,1.0,ocean,No Rest,1.0,1.0
190,9000,Control,0.0,21.34,Adults,2.0,ocean,No Rest,1.0,1.0
191,9147,Control,0.0,8.57,Children,1.0,canyon,No Rest,0.5,1.0
192,9151,Control,0.0,14.7,Adolescents,1.0,ocean,No Rest,0.875,1.0
193,9154,Control,1.0,14.05,Adolescents,2.0,canyon,No Rest,0.875,1.0
194,9157,Control,0.0,15.36,Adolescents,2.0,ocean,No Rest,0.5,1.0
195,9159,Control,-0.30000000000000004,15.8,Adolescents,1.0,ocean,No Rest,1.0,0.7
196,9160,Control,0.0,15.11,Adolescents,1.0,canyon,No Rest,1.0,1.0
197,9164,Control,0.0,15.24,Adolescents,2.0,canyon,No Rest,0.5,1.0
198,9170,Control,0.0,17.92,Adolescents,2.0,canyon,No Rest,0.5,1.0
199,9178,Control,0.0,22.13,Adults,1.0,canyon,No Rest,1.0,1.0
200,9180,Control,0.25,12.83,Children,1.0,canyon,No Rest,0.75,1.0
201,9444,Control,0.5,9.82,Children,2.0,canyon,No Rest,1.0,1.0
202,9460,Control,0.0,16.19,Adolescents,2.0,canyon,No Rest,0.75,1.0
203,9627,Control,0.0,16.0,Adolescents,1.0,canyon,No Rest,1.0,1.0
204,9642,Control,0.0,16.37,Adolescents,1.0,ocean,No Rest,1.0,1.0
205,9677,Control,0.0,21.88,Adults,1.0,canyon,No Rest,1.0,1.0
206,9759,Control,0.0,15.24,Adolescents,2.0,ocean,No Rest,0.875,1.0
207,9888,Control,0.0,7.05,Children,1.0,ocean,No Rest,1.0,1.0
208,9986,Control,0.0,23.62,Adults,2.0,canyon,No Rest,1.0,1.0
209,10009,Control,0.0,18.53,Adults,1.0,ocean,No Rest,0.875,1.0
210,10010,Control,0.5,21.6,Adults,2.0,canyon,No Rest,1.0,1.0
211,10031,Control,0.0,8.51,Children,1.0,canyon,No Rest,0.5,0.9
212,10037,Control,-0.19999999999999996,10.75,Children,1.0,ocean,No Rest,0.875,0.8
213,10038,Control,0.0,18.05,Adults,2.0,ocean,No Rest,1.0,1.0
214,10040,Control,0.25,9.37,Children,1.0,canyon,No Rest,0.75,1.0
215,10044,Control,0.5,9.24,Children,2.0,ocean,No Rest,0.75,1.0
216,10045,Control,0.0,21.55,Adults,2.0,canyon,No Rest,1.0,1.0
217,10172,Control,0.0,7.25,Children,2.0,ocean,No Rest,1.0,1.0
218,10510,Control,0.15000000000000002,8.2,Children,1.0,ocean,No Rest,0.875,0.9
219,10520,Control,0.25,7.8,Children,1.0,canyon,No Rest,0.875,1.0
220,10521,Control,0.0,16.47,Adolescents,2.0,ocean,No Rest,1.0,1.0
221,10589,Control,-0.09999999999999998,23.86,Adults,2.0,ocean,No Rest,1.0,0.9
222,10608,Control,0.75,8.62,Children,1.0,ocean,No Rest,0.5,1.0
223,10686,Control,0.75,17.14,Adolescents,1.0,ocean,No Rest,0.75,1.0
224,11122,Control,0.0,7.81,Children,2.0,canyon,No Rest,0.5,1.0
225,11193,Control,0.5,7.03,Children,2.0,canyon,No Rest,0.625,1.0
226,11194,Control,0.0,15.66,Adolescents,2.0,ocean,No Rest,1.0,1.0
227,11405,Control,0.5,7.54,Children,2.0,ocean,No Rest,0.625,1.0
228,11480,Control,0.25,17.28,Adolescents,2.0,canyon,No Rest,1.0,0.9
229,12223,Control,0.0,7.02,Children,2.0,ocean,No Rest,1.0,1.0
230,12454,Control,0.0,16.51,Adolescents,1.0,ocean,No Rest,1.0,1.0
231,12455,Control,0.0,9.83,Children,1.0,canyon,No Rest,1.0,1.0
232,12605,Control,0.0,17.04,Adolescents,1.0,canyon,No Rest,1.0,1.0
233,12878,Control,0.0,8.38,Children,1.0,canyon,No Rest,1.0,1.0
234,13403,Control,0.75,9.25,Children,1.0,ocean,No Rest,0.875,1.0
235,13778,Control,0.0,18.21,Adults,1.0,ocean,No Rest,1.0,1.0
236,13782,Control,0.0,18.6,Adults,2.0,canyon,No Rest,1.0,1.0
237,14425,Control,0.25,18.51,Adults,1.0,ocean,No Rest,1.0,1.0
238,14427,Control,0.0,22.42,Adults,1.0,canyon,No Rest,1.0,1.0
239,14485,Control,0.0,16.34,Adolescents,1.0,canyon,No Rest,1.0,1.0
