"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","condition","order","trial_num","key_press","ground_truth","bonus"
"html-keyboard-response","571","1863105","0.0-5.0-4.0-1.41","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","91","","",""
"memory-trial","572","1867082","0.0-5.0-4.0-0.42","spark_pilot_norest","8205","6","20","Female","","false","","","","","2975","./assets/img/ocean/memory/7.jpg","maybe_new","memory","","0","","false","","","","","92","3","old",""
"html-keyboard-response","573","1867585","0.0-5.0-4.0-1.42","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","93","","",""
"memory-trial","574","1871022","0.0-5.0-4.0-0.43","spark_pilot_norest","8205","6","20","Female","","false","","","","","2434","./assets/img/canyon/memory/21.jpg","maybe_old","memory","","10","","true","","","","","94","2","old",""
"html-keyboard-response","575","1871524","0.0-5.0-4.0-1.43","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","95","","",""
"memory-trial","576","1874753","0.0-5.0-4.0-0.44","spark_pilot_norest","8205","6","20","Female","","false","","","","","2226","./assets/img/ocean/memory/5.jpg","definitely_old","memory","","0","","false","","","","","96","1","new",""
"html-keyboard-response","577","1875254","0.0-5.0-4.0-1.44","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","97","","",""
"memory-trial","578","1878532","0.0-5.0-4.0-0.45","spark_pilot_norest","8205","6","20","Female","","false","","","","","2275","./assets/img/ocean/memory/6.jpg","maybe_old","memory","","10","","true","","","","","98","2","old",""
"html-keyboard-response","579","1879033","0.0-5.0-4.0-1.45","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","99","","",""
"memory-trial","580","1882093","0.0-5.0-4.0-0.46","spark_pilot_norest","8205","6","20","Female","","false","","","","","2056","./assets/img/canyon/memory/25.jpg","maybe_old","memory","","10","","true","","","","","100","2","old",""
"html-keyboard-response","581","1882595","0.0-5.0-4.0-1.46","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","101","","",""
"memory-trial","582","1885302","0.0-5.0-4.0-0.47","spark_pilot_norest","8205","6","20","Female","","false","","","","","1704","./assets/img/canyon/memory/35.jpg","maybe_old","memory","","0","","false","","","","","102","2","new",""
"html-keyboard-response","583","1885804","0.0-5.0-4.0-1.47","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","103","","",""
"memory-trial","584","1887992","0.0-5.0-4.0-0.48","spark_pilot_norest","8205","6","20","Female","","false","","","","","1185","./assets/img/ocean/memory/30.jpg","maybe_new","memory","","0","","false","","","","","104","3","old",""
"html-keyboard-response","585","1888494","0.0-5.0-4.0-1.48","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","105","","",""
"memory-trial","586","1890772","0.0-5.0-4.0-0.49","spark_pilot_norest","8205","6","20","Female","","false","","","","","1275","./assets/img/ocean/memory/2.jpg","definitely_new","memory","","10","","true","","","","","106","4","new",""
"html-keyboard-response","587","1891273","0.0-5.0-4.0-1.49","spark_pilot_norest","8205","6","20","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","107","","",""
